Folder|Nota Dinas|Title / Subject|Tanggal Terima
0243MK05PS-05III2019|0243/MK.05/PS-05/III/2019|[Nota Dinas] Status Kesiapan Komersial (RFC) Paket BUMN Sunday Sale (0243/MK.05/PS-05/III/2019)|2019-03-11 08:34:40.339
0246MK05PS-05III2019|0246/MK.05/PS-05/III/2019|[Nota Dinas] Status Kesiapan Komersial (RFC) Weekend Deal BUMN 15GB Postpaid Maret 2019 (0246/MK.05/PS-05/III/2019)|2019-03-11 08:34:40.699
034MK05PS-37III2019|034/MK.05/PS-37/III/2019|[Nota Dinas] Pemberitahuan RFI Surprise Deal Postpaid Maret 2019 (MyTsel) (034/MK.05/PS-37/III/2019)|2019-03-11 16:43:29.747
033MK05PS-37III2019|033/MK.05/PS-37/III/2019|[Nota Dinas] Pemberitahuan RFS Surprise Deal Postpaid Maret 2019 (MyTsel) (033/MK.05/PS-37/III/2019)|2019-03-11 16:43:30.228
0251MK05PS-05III2019|0251/MK.05/PS-05/III/2019|[Nota Dinas] Status Kesiapan Komersial (RFC) Surprise Deal Postpaid Maret 2019 (UMB) (0251/MK.05/PS-05/III/2019)|2019-03-11 17:26:17.956
059MK05PS-33III2019|059/MK.05/PS-33/III/2019|[Nota Dinas] Pemberitahuan RFI Enhancement CLS Info di My Telkomsel Apps (059/MK.05/PS-33/III/2019)|2019-03-13 09:48:12.986
060MK05PS-33III2019|060/MK.05/PS-33/III/2019|[Nota Dinas] Pemberitahuan RFI Pemberian Offer Gimmick Setelah Pembayaran Tagihan (060/MK.05/PS-33/III/2019)|2019-03-14 10:30:30.272
035MK05PS-37III2019|035/MK.05/PS-37/III/2019|[Nota Dinas] Pemberitahuan RFS Paket Family Plan Cross Brand – Postpaid Parent (MyTsel) (035/MK.05/PS-37/III/2019)|2019-03-14 10:52:07.485
041MK05PS-03III2019|041/MK.05/PS-03/III/2019|[Nota Dinas] Permohonan Batch Offer untuk Pelanggan BC 06 per Maret 2019 (041/MK.05/PS-03/III/2019)|2019-03-15 08:46:12.535
0270MK05PS-05III2019|0270/MK.05/PS-05/III/2019|[Nota Dinas] Laporan Hasil Inspeksi (ITR) Surprise Deal Postpaid Maret 2019 (MyTsel) (0270/MK.05/PS-05/III/2019)|2019-03-18 13:30:55.000
0269MK05PS-05III2019|0269/MK.05/PS-05/III/2019|[Nota Dinas] Laporan Hasil Inspeksi (ITR) Surprise Deals Prepaid Postpaid 12 Maret 2019 UMB dan Mytsel (0269/MK.05/PS-05/III/2019)|2019-03-18 13:30:55.734
020SV05CM-61III2019|020/SV.05/CM-61/III/2019|[Nota Dinas] Permohonan Pembuatan APN Komersial Corporate PLN  UP2D Jakarta (UP2DTSEL) (020/SV.05/CM-61/III/2019)|2019-03-18 13:30:55.852
0287MK05PS-05III2019|0287/MK.05/PS-05/III/2019|[Nota Dinas] Status Kesiapan Komersial (RFC) Paket Surprise Deal MusicMAX (Postpaid) (0287/MK.05/PS-05/III/2019)|2019-03-19 21:29:32.386
066MK05PS-33III2019|066/MK.05/PS-33/III/2019|[Nota Dinas] Pemberitahuan RFI Perubahan Notifikasi SMS Roaming di Malaysia (066/MK.05/PS-33/III/2019)|2019-03-19 21:29:32.448
0282MK05PS-05III2019|0282/MK.05/PS-05/III/2019|[Nota Dinas] Status Kesiapan Komersial (RFC) Paket Family Plan Cross Brand – Postpaid Parent (MyTsel) (0282/MK.05/PS-05/III/2019)|2019-03-19 21:29:32.573
